Heath monochromator readings:,
Time: 11:53:38,
Date: 13-8-2021,
Slit width: 15 microns,
Dwell time: 100 milliseconds,
Start wavelength: 6334 Angstroms,
End wavelength: 6375 Angstroms,
Increment: 0.2 Angstroms,
,
1.00063E+17,
Begin scan:,
,
,
6334,143
6334.2,152
6334.4,139
6334.6,173
6334.8,177
6335,174
6335.2,164
6335.4,153
6335.6,161
6335.8,168
6336,158
6336.2,153
6336.4,151
6336.6,177
6336.8,150
6337,146
6337.2,164
6337.4,160
6337.6,161
6337.8,184
6338,171
6338.2,158
6338.4,200
6338.6,188
6338.8,184
6339,153
6339.2,192
6339.4,199
6339.6,203
6339.8,199
6340,185
6340.2,148
6340.4,187
6340.6,194
6340.8,184
6341,185
6341.2,160
6341.4,159
6341.6,167
6341.8,174
6342,206
6342.2,181
6342.4,177
6342.6,205
6342.8,190
6343,212
6343.2,183
6343.4,183
6343.6,212
6343.8,217
6344,237
6344.2,192
6344.4,229
6344.6,217
6344.8,220
6345,266
6345.2,248
6345.4,226
6345.6,301
6345.8,297
6346,286
6346.2,306
6346.4,309
6346.6,321
6346.8,336
6347,345
6347.2,434
6347.4,507
6347.6,491
6347.8,573
6348,576
6348.2,714
6348.4,795
6348.6,1040
6348.8,1614
6349,2014
6349.2,2485
6349.4,5330
6349.6,10129
6349.8,13324
6350,14868
6350.2,15894
6350.4,16107
6350.6,16020
6350.8,15691
6351,13193
6351.2,8007
6351.4,3699
6351.6,1852
6351.8,1353
6352,1021
6352.2,815
6352.4,707
6352.6,585
6352.8,501
6353,512
6353.2,396
6353.4,404
6353.6,331
6353.8,365
6354,328
6354.2,296
6354.4,262
6354.6,293
6354.8,251
6355,268
6355.2,251
6355.4,262
6355.6,228
6355.8,228
6356,220
6356.2,273
6356.4,228
6356.6,195
6356.8,231
6357,218
6357.2,206
6357.4,209
6357.6,207
6357.8,226
6358,204
6358.2,191
6358.4,198
6358.6,211
6358.8,179
6359,157
6359.2,195
6359.4,170
6359.6,173
6359.8,194
6360,175
6360.2,177
6360.4,176
6360.6,168
6360.8,175
6361,177
6361.2,157
6361.4,168
6361.6,155
6361.8,162
6362,184
6362.2,179
6362.4,174
6362.6,181
6362.8,167
6363,176
6363.2,148
6363.4,172
6363.6,179
6363.8,158
6364,169
6364.2,150
6364.4,154
6364.6,178
6364.8,167
6365,167
6365.2,172
6365.4,172
6365.6,167
6365.8,176
6366,154
6366.2,160
6366.4,170
6366.6,180
6366.8,187
6367,149
6367.2,153
6367.4,148
6367.6,152
6367.8,151
6368,155
6368.2,150
6368.4,147
6368.6,148
6368.8,166
6369,164
6369.2,170
6369.4,161
6369.6,158
6369.8,131
6370,152
6370.2,154
6370.4,151
6370.6,157
6370.8,177
6371,173
6371.2,171
6371.4,159
6371.6,134
6371.8,141
6372,169
6372.2,147
6372.4,175
6372.6,190
6372.8,179
6373,160
6373.2,156
6373.4,159
6373.6,160
6373.8,146
6374,141
6374.2,179
6374.4,155
6374.6,155
6374.8,171
6375,155
